ensembl_gene_id	hgnc_symbol	chrom_hsa	entrezgene_id	ensembl_gene_id_mmu	mgi_symbol	chrom_mmu	entrezgene_id_mmu	mgi_id
ENSG00000100312	ACR	Chr22	49	ENSMUSG00000022622	Acr	Chr15	11434	MGI:87884
ENSG00000138435	CHRNA1	Chr2	1134	ENSMUSG00000027107	Chrna1	Chr2	11435	MGI:87885
ENSG00000101204	CHRNA4	Chr20	1137	ENSMUSG00000027577	Chrna4	Chr2	11438	MGI:87888
ENSG00000147434	CHRNA6	Chr8	8973	ENSMUSG00000031491	Chrna6	Chr8	11440	MGI:106213
ENSG00000170175	CHRNB1	Chr17	1140	ENSMUSG00000041189	Chrnb1	Chr11	11443	MGI:87890
ENSG00000160716	CHRNB2	Chr1	1141	ENSMUSG00000027950	Chrnb2	Chr3	11444	MGI:87891
ENSG00000135902	CHRND	Chr2	1144	ENSMUSG00000026251	Chrnd	Chr1	11447	MGI:87893
ENSG00000108556	CHRNE	Chr17	1145	ENSMUSG00000014609	Chrne	Chr11	11448	MGI:87894
ENSG00000196811	CHRNG	Chr2	1146	ENSMUSG00000026253	Chrng	Chr1	11449	MGI:87895
ENSG00000181092	ADIPOQ	Chr3	9370	ENSMUSG00000022878	Adipoq	Chr16	11450	MGI:106675
ENSG00000134940	ACRV1	Chr11	56	ENSMUSG00000032110	Acrv1	Chr9	11451	MGI:104590
ENSG00000143632	ACTA1	Chr1	58	ENSMUSG00000031972	Acta1	Chr8	11459	MGI:87902
ENSG00000075624	ACTB	Chr7	60	ENSMUSG00000029580	Actb	Chr5	11461	MGI:87904
ENSG00000159251	ACTC1	Chr15	70	ENSMUSG00000068614	Actc1	Chr2	11464	MGI:87905
ENSG00000184009	ACTG1	Chr17	71	ENSMUSG00000062825	Actg1	Chr11	11465	MGI:87906
ENSG00000163017	ACTG2	Chr2	72	ENSMUSG00000059430	Actg2	Chr6	11468	MGI:104589
ENSG00000187003	ACTL7A	Chr9	10881	ENSMUSG00000070979	Actl7a	Chr4	11470	MGI:1343051
ENSG00000148156	ACTL7B	Chr9	10880	ENSMUSG00000070980	Actl7b	Chr4	11471	MGI:1343053
ENSG00000077522	ACTN2	Chr1	88	ENSMUSG00000052374	Actn2	Chr13	11472	MGI:109192
ENSG00000248746	ACTN3	Chr11	89	ENSMUSG00000006457	Actn3	Chr19	11474	MGI:99678
ENSG00000107796	ACTA2	Chr10	59	ENSMUSG00000035783	Acta2	Chr19	11475	MGI:87909
ENSG00000115170	ACVR1	Chr2	90	ENSMUSG00000026836	Acvr1	Chr2	11477	MGI:87911
ENSG00000135503	ACVR1B	Chr12	91	ENSMUSG00000000532	Acvr1b	Chr15	11479	MGI:1338944
ENSG00000121989	ACVR2A	Chr2	92	ENSMUSG00000052155	Acvr2a	Chr2	11480	MGI:102806
ENSG00000114739	ACVR2B	Chr3	93	ENSMUSG00000061393	Acvr2b	Chr9	11481	MGI:87912
ENSG00000139567	ACVRL1	Chr12	94	ENSMUSG00000000530	Acvrl1	Chr15	11482	MGI:1338946
ENSG00000108381	ASPA	Chr17	443	ENSMUSG00000020774	Aspa	Chr11	11484	MGI:87914
ENSG00000196839	ADA	Chr20	100	ENSMUSG00000017697	Ada	Chr2	11486	MGI:87916
ENSG00000137845	ADAM10	Chr15	102	ENSMUSG00000054693	Adam10	Chr9	11487	MGI:109548
ENSG00000073670	ADAM11	Chr17	4185	ENSMUSG00000020926	Adam11	Chr11	11488	MGI:1098667
ENSG00000148848	ADAM12	Chr10	8038	ENSMUSG00000054555	Adam12	Chr7	11489	MGI:105378
ENSG00000143537	ADAM15	Chr1	8751	ENSMUSG00000028041	Adam15	Chr3	11490	MGI:1333882
ENSG00000151694	ADAM17	Chr2	6868	ENSMUSG00000052593	Adam17	Chr12	11491	MGI:1096335
ENSG00000135074	ADAM19	Chr5	8728	ENSMUSG00000011256	Adam19	Chr11	11492	MGI:105377
ENSG00000104755	ADAM2	Chr8	2515	ENSMUSG00000022039	Adam2	Chr14	11495	MGI:1340894
ENSG00000008277	ADAM22	Chr7	53616	ENSMUSG00000040537	Adam22	Chr5	11496	MGI:1340046
ENSG00000197475	ADAM3A	Chr8	1587	ENSMUSG00000031553	Adam3	Chr8	11497	MGI:102518
ENSG00000196115	ADAM5	Chr8	255926	ENSMUSG00000031554	Adam5	Chr8	11499	MGI:104730
ENSG00000069206	ADAM7	Chr8	8756	ENSMUSG00000022056	Adam7	Chr14	11500	MGI:107247
ENSG00000151651	ADAM8	Chr10	101	ENSMUSG00000025473	Adam8	Chr7	11501	MGI:107825
ENSG00000168615	ADAM9	Chr8	8754	ENSMUSG00000031555	Adam9	Chr8	11502	MGI:105376
ENSG00000154734	ADAMTS1	Chr21	9510	ENSMUSG00000022893	Adamts1	Chr16	11504	MGI:109249
ENSG00000174233	ADCY6	Chr12	112	ENSMUSG00000022994	Adcy6	Chr15	11512	MGI:87917
ENSG00000121281	ADCY7	Chr16	113	ENSMUSG00000031659	Adcy7	Chr8	11513	MGI:102891
ENSG00000155897	ADCY8	Chr8	114	ENSMUSG00000022376	Adcy8	Chr15	11514	MGI:1341110
ENSG00000162104	ADCY9	Chr16	115	ENSMUSG00000005580	Adcy9	Chr16	11515	MGI:108450
ENSG00000141433	ADCYAP1	Chr18	116	ENSMUSG00000024256	Adcyap1	Chr17	11516	MGI:105094
ENSG00000078549	ADCYAP1R1	Chr7	117	ENSMUSG00000029778	Adcyap1r1	Chr6	11517	MGI:108449
ENSG00000087274	ADD1	Chr4	118	ENSMUSG00000029106	Add1	Chr5	11518	MGI:87918
ENSG00000075340	ADD2	Chr2	119	ENSMUSG00000030000	Add2	Chr6	11519	MGI:87919
ENSG00000147872	PLIN2	Chr9	123	ENSMUSG00000028494	Plin2	Chr4	11520	MGI:87920
ENSG00000196344	ADH7	Chr4	131	ENSMUSG00000055301	Adh7	Chr3	11529	MGI:87926
ENSG00000197894	ADH5	Chr4	128	ENSMUSG00000028138	Adh5	Chr3	11532	MGI:87929
ENSG00000156110	ADK	Chr10	132	ENSMUSG00000039197	Adk	Chr14	11534	MGI:87930
ENSG00000148926	ADM	Chr11	133	ENSMUSG00000030790	Adm	Chr7	11535	MGI:108058
ENSG00000166856	GPR182	Chr12	11318	ENSMUSG00000058396	Gpr182	Chr10	11536	MGI:109545
ENSG00000197766	CFD	Chr19	1675	ENSMUSG00000061780	Cfd	Chr10	11537	MGI:87931
ENSG00000101126	ADNP	Chr20	23394	ENSMUSG00000051149	Adnp	Chr2	11538	MGI:1338758
ENSG00000163485	ADORA1	Chr1	134	ENSMUSG00000042429	Adora1	Chr1	11539	MGI:99401
ENSG00000128271	ADORA2A	Chr22	135	ENSMUSG00000020178	Adora2a	Chr10	11540	MGI:99402
ENSG00000170425	ADORA2B	Chr17	136	ENSMUSG00000018500	Adora2b	Chr11	11541	MGI:99403
ENSG00000282608	ADORA3	Chr1	140	ENSMUSG00000000562	Adora3	Chr3	11542	MGI:104847
ENSG00000144843	ADPRH	Chr3	141	ENSMUSG00000002844	Adprh	Chr16	11544	MGI:1098234
ENSG00000143799	PARP1	Chr1	142	ENSMUSG00000026496	Parp1	Chr1	11545	MGI:1340806
ENSG00000129484	PARP2	Chr14	10038	ENSMUSG00000036023	Parp2	Chr14	11546	MGI:1341112
ENSG00000170214	ADRA1B	Chr5	147	ENSMUSG00000050541	Adra1b	Chr11	11548	MGI:104774
ENSG00000120907	ADRA1A	Chr8	148	ENSMUSG00000045875	Adra1a	Chr14	11549	MGI:104773
ENSG00000171873	ADRA1D	Chr20	146	ENSMUSG00000027335	Adra1d	Chr2	11550	MGI:106673
ENSG00000150594	ADRA2A	Chr10	150	ENSMUSG00000033717	Adra2a	Chr19	11551	MGI:87934
ENSG00000274286	ADRA2B	Chr2	151	ENSMUSG00000058620	Adra2b	Chr2	11552	MGI:87935
ENSG00000184160	ADRA2C	Chr4	152	ENSMUSG00000045318	Adra2c	Chr5	11553	MGI:87936
ENSG00000043591	ADRB1	Chr10	153	ENSMUSG00000035283	Adrb1	Chr19	11554	MGI:87937
ENSG00000169252	ADRB2	Chr5	154	ENSMUSG00000045730	Adrb2	Chr18	11555	MGI:87938
ENSG00000188778	ADRB3	Chr8	155	ENSMUSG00000031489	Adrb3	Chr8	11556	MGI:87939
ENSG00000239900	ADSL	Chr22	158	ENSMUSG00000022407	Adsl	Chr15	11564	MGI:103202
ENSG00000185100	ADSS1	Chr14	122622	ENSMUSG00000011148	Adss1	Chr12	11565	MGI:87947
ENSG00000035687	ADSS2	Chr1	159	ENSMUSG00000015961	Adss2	Chr1	11566	MGI:87948
ENSG00000135407	AVIL	Chr12	10677	ENSMUSG00000025432	Avil	Chr10	11567	MGI:1333798
ENSG00000106624	AEBP1	Chr7	165	ENSMUSG00000020473	Aebp1	Chr11	11568	MGI:1197012
ENSG00000139154	AEBP2	Chr12	121536	ENSMUSG00000030232	Aebp2	Chr6	11569	MGI:1338038
ENSG00000096006	CRISP3	Chr6	10321	ENSMUSG00000025431	Crisp1	Chr17	11571	MGI:102553
ENSG00000081051	AFP	Chr4	174	ENSMUSG00000054932	Afp	Chr5	11576	MGI:87951
ENSG00000038002	AGA	Chr4	175	ENSMUSG00000031521	Aga	Chr8	11593	MGI:104873
ENSG00000157766	ACAN	Chr15	176	ENSMUSG00000030607	Acan	Chr7	11595	MGI:99602
ENSG00000204305	AGER	Chr6	177	ENSMUSG00000015452	Ager	Chr17	11596	MGI:893592
ENSG00000154188	ANGPT1	Chr8	284	ENSMUSG00000022309	Angpt1	Chr15	11600	MGI:108448
ENSG00000091879	ANGPT2	Chr8	285	ENSMUSG00000031465	Angpt2	Chr8	11601	MGI:1202890
ENSG00000101280	ANGPT4	Chr20	51378	ENSMUSG00000027460	Angpt4	Chr2	11602	MGI:1336887
ENSG00000188157	AGRN	Chr1	375790	ENSMUSG00000041936	Agrn	Chr4	11603	MGI:87961
ENSG00000159723	AGRP	Chr16	181	ENSMUSG00000005705	Agrp	Chr8	11604	MGI:892013
ENSG00000102393	GLA	ChrX	2717	ENSMUSG00000031266	Gla	ChrX	11605	MGI:1347344
ENSG00000135744	AGT	Chr1	183	ENSMUSG00000031980	Agt	Chr8	11606	MGI:87963
ENSG00000144891	AGTR1	Chr3	185	ENSMUSG00000049115	Agtr1a	Chr13	11607	MGI:87964
ENSG00000144891	AGTR1	Chr3	185	ENSMUSG00000054988	Agtr1b	Chr3	11608	MGI:87965
ENSG00000180772	AGTR2	ChrX	186	ENSMUSG00000068122	Agtr2	ChrX	11609	MGI:87966
ENSG00000177674	AGTRAP	Chr1	57085	ENSMUSG00000029007	Agtrap	Chr4	11610	MGI:1339977
ENSG00000172482	AGXT	Chr2	189	ENSMUSG00000026272	Agxt	Chr1	11611	MGI:1329033
ENSG00000169297	NR0B1	ChrX	190	ENSMUSG00000025056	Nr0b1	ChrX	11614	MGI:1352460
ENSG00000101444	AHCY	Chr20	191	ENSMUSG00000048087	Ahcyl	Chr16	11615	MGI:3643647
ENSG00000106546	AHR	Chr7	196	ENSMUSG00000019256	Ahr	Chr12	11622	MGI:105043
ENSG00000063438	AHRR	Chr5	57491	ENSMUSG00000021575	Ahrr	Chr13	11624	MGI:1333776
ENSG00000145192	AHSG	Chr3	197	ENSMUSG00000022868	Ahsg	Chr16	11625	MGI:107189
ENSG00000111732	AICDA	Chr12	57379	ENSMUSG00000040627	Aicda	Chr6	11628	MGI:1342279
ENSG00000204472	AIF1	Chr6	199	ENSMUSG00000024397	Aif1	Chr17	11629	MGI:1343098
ENSG00000112297	CRYBG1	Chr6	202	ENSMUSG00000019866	Crybg1	Chr10	11630	MGI:109544
ENSG00000110711	AIP	Chr11	9049	ENSMUSG00000024847	Aip	Chr19	11632	MGI:109622
ENSG00000160224	AIRE	Chr21	326	ENSMUSG00000000731	Aire	Chr10	11634	MGI:1338803
ENSG00000106992	AK1	Chr9	203	ENSMUSG00000026817	Ak1	Chr2	11636	MGI:87977
ENSG00000004455	AK2	Chr1	204	ENSMUSG00000028792	Ak2	Chr4	11637	MGI:87978
ENSG00000162433	AK4	Chr1	205	ENSMUSG00000028527	Ak4	Chr4	11639	MGI:87979
ENSG00000121057	AKAP1	Chr17	8165	ENSMUSG00000018428	Akap1	Chr11	11640	MGI:104729
ENSG00000111254	AKAP3	Chr12	10566	ENSMUSG00000030344	Akap3	Chr6	11642	MGI:1341149
ENSG00000147081	AKAP4	ChrX	8852	ENSMUSG00000050089	Akap4	ChrX	11643	MGI:102794
ENSG00000162551	ALPL	Chr1	249	ENSMUSG00000028766	Alpl	Chr4	11647	MGI:87983
ENSG00000142208	AKT1	Chr14	207	ENSMUSG00000001729	Akt1	Chr12	11651	MGI:87986
ENSG00000105221	AKT2	Chr19	208	ENSMUSG00000004056	Akt2	Chr7	11652	MGI:104874
ENSG00000023330	ALAS1	Chr3	211	ENSMUSG00000032786	Alas1	Chr9	11655	MGI:87989
ENSG00000158578	ALAS2	ChrX	212	ENSMUSG00000025270	Alas2	ChrX	11656	MGI:87990
ENSG00000163631	ALB	Chr4	213	ENSMUSG00000029368	Alb	Chr5	11657	MGI:87991
ENSG00000170017	ALCAM	Chr3	214	ENSMUSG00000022636	Alcam	Chr16	11658	MGI:1313266
ENSG00000101986	ABCD1	ChrX	215	ENSMUSG00000031378	Abcd1	ChrX	11666	MGI:1349215
ENSG00000165092	ALDH1A1	Chr9	216	ENSMUSG00000053279	Aldh1a1	Chr19	11668	MGI:1353450
ENSG00000111275	ALDH2	Chr12	217	ENSMUSG00000029455	Aldh2	Chr5	11669	MGI:99600
ENSG00000108602	ALDH3A1	Chr17	218	ENSMUSG00000019102	Aldh3a1	Chr11	11670	MGI:1353451
ENSG00000072210	ALDH3A2	Chr17	224	ENSMUSG00000010025	Aldh3a2	Chr11	11671	MGI:1353452
ENSG00000149925	ALDOA	Chr16	226	ENSMUSG00000030695	Aldoa	Chr7	11674	MGI:87994
ENSG00000109107	ALDOC	Chr17	230	ENSMUSG00000017390	Aldoc	Chr11	11676	MGI:101863
ENSG00000085662	AKR1B1	Chr7	231	ENSMUSG00000001642	Akr1b1	Chr6	11677	MGI:1353494
ENSG00000171094	ALK	Chr2	238	ENSMUSG00000055471	Alk	Chr17	11682	MGI:103305
ENSG00000108839	ALOX12	Chr17	239	ENSMUSG00000000320	Alox12	Chr11	11684	MGI:87998
ENSG00000179477	ALOX12B	Chr17	242	ENSMUSG00000032807	Alox12b	Chr11	11686	MGI:1274782
ENSG00000161905	ALOX15	Chr17	246	ENSMUSG00000018924	Alox15	Chr11	11687	MGI:87997
ENSG00000179593	ALOX15B	Chr17	247	ENSMUSG00000020891	Alox8	Chr11	11688	MGI:1098228
ENSG00000012779	ALOX5	Chr10	240	ENSMUSG00000025701	Alox5	Chr6	11689	MGI:87999
ENSG00000132965	ALOX5AP	Chr13	241	ENSMUSG00000060063	Alox5ap	Chr5	11690	MGI:107505
ENSG00000127554	GFER	Chr16	2671	ENSMUSG00000040888	Gfer	Chr17	11692	MGI:107757
ENSG00000156150	ALX3	Chr1	257	ENSMUSG00000014603	Alx3	Chr3	11694	MGI:1277097
ENSG00000052850	ALX4	Chr11	60529	ENSMUSG00000040310	Alx4	Chr2	11695	MGI:108359
ENSG00000178522	AMBN	Chr4	258	ENSMUSG00000029288	Ambn	Chr5	11698	MGI:104655
ENSG00000106927	AMBP	Chr9	259	ENSMUSG00000028356	Ambp	Chr4	11699	MGI:88002
ENSG00000123505	AMD1	Chr6	262	ENSMUSG00000075232	Amd1	Chr10	11702	MGI:88004
ENSG00000104899	AMH	Chr19	268	ENSMUSG00000035262	Amh	Chr10	11705	MGI:88006
ENSG00000133805	AMPD3	Chr11	272	ENSMUSG00000005686	Ampd3	Chr7	11717	MGI:1096344
ENSG00000151224	MAT1A	Chr10	4143	ENSMUSG00000037798	Mat1a	Chr14	11720	MGI:88017
ENSG00000214274	ANG	Chr14	283	ENSMUSG00000072115	Ang	Chr14	11727	MGI:88022
ENSG00000214274	ANG	Chr14	283	ENSMUSG00000053961	Ang3	Chr14	11730	MGI:1201793
ENSG00000214274	ANG	Chr14	283	ENSMUSG00000047894	Ang2	Chr14	11731	MGI:104984
ENSG00000154122	ANKH	Chr5	56172	ENSMUSG00000022265	Ank	Chr15	11732	MGI:3045421
ENSG00000029534	ANK1	Chr8	286	ENSMUSG00000031543	Ank1	Chr8	11733	MGI:88024
ENSG00000151150	ANK3	Chr10	288	ENSMUSG00000069601	Ank3	Chr10	11735	MGI:88026
ENSG00000185722	ANKFY1	Chr17	51479	ENSMUSG00000020790	Ankfy1	Chr11	11736	MGI:1337008
ENSG00000151729	SLC25A4	Chr4	291	ENSMUSG00000031633	Slc25a4	Chr8	11739	MGI:1353495
ENSG00000005022	SLC25A5	ChrX	292	ENSMUSG00000016319	Slc25a5	ChrX	11740	MGI:1353496
ENSG00000122359	ANXA11	Chr10	311	ENSMUSG00000021866	Anxa11	Chr14	11744	MGI:108481
ENSG00000138772	ANXA3	Chr4	306	ENSMUSG00000029484	Anxa3	Chr5	11745	MGI:1201378
ENSG00000196975	ANXA4	Chr2	307	ENSMUSG00000029994	Anxa4	Chr6	11746	MGI:88030
ENSG00000164111	ANXA5	Chr4	308	ENSMUSG00000027712	Anxa5	Chr3	11747	MGI:106008
ENSG00000197043	ANXA6	Chr5	309	ENSMUSG00000018340	Anxa6	Chr11	11749	MGI:88255
ENSG00000138279	ANXA7	Chr10	310	ENSMUSG00000021814	Anxa7	Chr14	11750	MGI:88031
ENSG00000131471	AOC3	Chr17	8639	ENSMUSG00000019326	Aoc3	Chr11	11754	MGI:1306797
ENSG00000165672	PRDX3	Chr10	10935	ENSMUSG00000024997	Prdx3	Chr19	11757	MGI:88034
ENSG00000117592	PRDX6	Chr1	9588	ENSMUSG00000026701	Prdx6	Chr1	11758	MGI:894320
ENSG00000138356	AOX1	Chr2	316	ENSMUSG00000063558	Aox1	Chr1	11761	MGI:88035
ENSG00000100280	AP1B1	Chr22	162	ENSMUSG00000009090	Ap1b1	Chr11	11764	MGI:1096368
ENSG00000166747	AP1G1	Chr16	164	ENSMUSG00000031731	Ap1g1	Chr8	11765	MGI:101919
ENSG00000213983	AP1G2	Chr14	8906	ENSMUSG00000040701	Ap1g2	Chr14	11766	MGI:1328307
ENSG00000072958	AP1M1	Chr19	8907	ENSMUSG00000003033	Ap1m1	Chr8	11767	MGI:102776
ENSG00000129354	AP1M2	Chr19	10053	ENSMUSG00000003309	Ap1m2	Chr9	11768	MGI:1336974
ENSG00000106367	AP1S1	Chr7	1174	ENSMUSG00000004849	Ap1s1	Chr5	11769	MGI:1098244
ENSG00000170323	FABP4	Chr8	2167	ENSMUSG00000062515	Fabp4	Chr3	11770	MGI:88038
ENSG00000196961	AP2A1	Chr19	160	ENSMUSG00000060279	Ap2a1	Chr7	11771	MGI:101921
ENSG00000183020	AP2A2	Chr11	161	ENSMUSG00000002957	Ap2a2	Chr7	11772	MGI:101920
ENSG00000161203	AP2M1	Chr3	1173	ENSMUSG00000022841	Ap2m1	Chr16	11773	MGI:1298405
ENSG00000132842	AP3B1	Chr5	8546	ENSMUSG00000021686	Ap3b1	Chr13	11774	MGI:1333879
ENSG00000103723	AP3B2	Chr15	8120	ENSMUSG00000062444	Ap3b2	Chr7	11775	MGI:1100869
ENSG00000065000	AP3D1	Chr19	8943	ENSMUSG00000020198	Ap3d1	Chr10	11776	MGI:107734
ENSG00000177879	AP3S1	Chr5	1176	ENSMUSG00000024480	Ap3s1	Chr18	11777	MGI:1337062
ENSG00000157823	AP3S2	Chr15	10239	ENSMUSG00000063801	Ap3s2	Chr7	11778	MGI:1337060
ENSG00000221838	AP4M1	Chr7	9179	ENSMUSG00000019518	Ap4m1	Chr5	11781	MGI:1337063
ENSG00000100478	AP4S1	Chr14	11154	ENSMUSG00000020955	Ap4s1	Chr12	11782	MGI:1337065
ENSG00000120868	APAF1	Chr12	317	ENSMUSG00000019979	Apaf1	Chr10	11783	MGI:1306796
ENSG00000034053	APBA2	Chr15	321	ENSMUSG00000030519	Apba2	Chr7	11784	MGI:1261791
ENSG00000166313	APBB1	Chr11	322	ENSMUSG00000037032	Apbb1	Chr7	11785	MGI:107765
ENSG00000163697	APBB2	Chr4	323	ENSMUSG00000029207	Apbb2	Chr5	11787	MGI:108405
ENSG00000134982	APC	Chr5	324	ENSMUSG00000005871	Apc	Chr18	11789	MGI:88039
ENSG00000072195	SPEG	Chr2	10290	ENSMUSG00000026207	Speg	Chr1	11790	MGI:109282
ENSG00000100823	APEX1	Chr14	328	ENSMUSG00000035960	Apex1	Chr14	11792	MGI:88042
ENSG00000057663	ATG5	Chr6	9474	ENSMUSG00000038160	Atg5	Chr10	11793	MGI:1277186
ENSG00000023445	BIRC3	Chr11	330	ENSMUSG00000032000	Birc3	Chr9	11796	MGI:1197007
ENSG00000110330	BIRC2	Chr11	329	ENSMUSG00000057367	Birc2	Chr9	11797	MGI:1197009
ENSG00000089685	BIRC5	Chr17	332	ENSMUSG00000017716	Birc5	Chr11	11799	MGI:1203517
ENSG00000166181	API5	Chr11	8539	ENSMUSG00000027193	Api5	Chr2	11800	MGI:1888993
ENSG00000073754	CD5L	Chr1	922	ENSMUSG00000015854	Cd5l	Chr3	11801	MGI:1334419
ENSG00000105290	APLP1	Chr19	333	ENSMUSG00000006651	Aplp1	Chr7	11803	MGI:88046
ENSG00000084234	APLP2	Chr11	334	ENSMUSG00000031996	Aplp2	Chr9	11804	MGI:88047
ENSG00000118137	APOA1	Chr11	335	ENSMUSG00000032083	Apoa1	Chr9	11806	MGI:88049
ENSG00000158874	APOA2	Chr1	336	ENSMUSG00000005681	Apoa2	Chr1	11807	MGI:88050
ENSG00000110244	APOA4	Chr11	337	ENSMUSG00000032080	Apoa4	Chr9	11808	MGI:88051
ENSG00000111701	APOBEC1	Chr12	339	ENSMUSG00000040613	Apobec1	Chr6	11810	MGI:103298
ENSG00000124701	APOBEC2	Chr6	10930	ENSMUSG00000040694	Apobec2	Chr17	11811	MGI:1343178
ENSG00000130208	APOC1	Chr19	341	ENSMUSG00000040564	Apoc1	Chr7	11812	MGI:88053
ENSG00000234906	APOC2	Chr19	344	ENSMUSG00000002992	Apoc2	Chr7	11813	MGI:88054
ENSG00000110245	APOC3	Chr11	345	ENSMUSG00000032081	Apoc3	Chr9	11814	MGI:88055
ENSG00000189058	APOD	Chr3	347	ENSMUSG00000022548	Apod	Chr16	11815	MGI:88056
ENSG00000130203	APOE	Chr19	348	ENSMUSG00000002985	Apoe	Chr7	11816	MGI:88057
ENSG00000091583	APOH	Chr17	350	ENSMUSG00000000049	Apoh	Chr11	11818	MGI:88058
ENSG00000185551	NR2F2	Chr15	7026	ENSMUSG00000030551	Nr2f2	Chr7	11819	MGI:1352452
ENSG00000142192	APP	Chr21	351	ENSMUSG00000022892	App	Chr16	11820	MGI:88059
ENSG00000198931	APRT	Chr16	353	ENSMUSG00000006589	Aprt	Chr8	11821	MGI:88061
ENSG00000240583	AQP1	Chr7	358	ENSMUSG00000004655	Aqp1	Chr6	11826	MGI:103201
ENSG00000167580	AQP2	Chr12	359	ENSMUSG00000023013	Aqp2	Chr15	11827	MGI:1096865
ENSG00000165272	AQP3	Chr9	360	ENSMUSG00000028435	Aqp3	Chr4	11828	MGI:1333777
ENSG00000171885	AQP4	Chr18	361	ENSMUSG00000024411	Aqp4	Chr18	11829	MGI:107387
ENSG00000161798	AQP5	Chr12	362	ENSMUSG00000044217	Aqp5	Chr15	11830	MGI:106215
ENSG00000086159	AQP6	Chr12	363	ENSMUSG00000043144	Aqp6	Chr15	11831	MGI:1341204
ENSG00000103375	AQP8	Chr16	343	ENSMUSG00000030762	Aqp8	Chr7	11833	MGI:1195271
ENSG00000021776	AQR	Chr15	9716	ENSMUSG00000040383	Aqr	Chr2	11834	MGI:1276102
ENSG00000169083	AR	ChrX	367	ENSMUSG00000046532	Ar	ChrX	11835	MGI:88064
ENSG00000078061	ARAF	ChrX	369	ENSMUSG00000001127	Araf	ChrX	11836	MGI:88065
ENSG00000198576	ARC	Chr8	23237	ENSMUSG00000022602	Arc	Chr15	11838	MGI:88067
ENSG00000109321	AREG	Chr4	374	ENSMUSG00000029378	Areg	Chr5	11839	MGI:88068
ENSG00000143761	ARF1	Chr1	375	ENSMUSG00000048076	Arf1	Chr11	11840	MGI:99431
ENSG00000134287	ARF3	Chr12	377	ENSMUSG00000051853	Arf3	Chr15	11842	MGI:99432
ENSG00000168374	ARF4	Chr3	378	ENSMUSG00000021877	Arf4	Chr14	11843	MGI:99433
ENSG00000004059	ARF5	Chr7	381	ENSMUSG00000020440	Arf5	Chr6	11844	MGI:99434
